yr,age,reproduction,mass_jun,mass_sept,sex_lamb,mass_gain,density,temp,precipitation
88,8,1,62.48,69.21,0,6.72,65,11.93,245.7
101,4,1,50.08,63.36,0,13.28,32,12.17,165.7
94,5,1,56.24,70.73,0,14.48,90,11.67,264.7
95,6,0,51.11,66.71,0,15.60,79,10.77,463.1
98,10,0,62.25,74.98,0,12.74,54,13.2,327.3
98,10,1,63.80,76.75,0,12.95,54,13.2,327.3
98,9,1,53.73,68.23,0,14.51,54,13.2,327.3
89,7,1,54.61,70.22,0,15.61,72,12.05,260.1
97,9,1,56.36,69.89,0,13.53,75,12.07,230.6
95,4,0,45.74,58.76,0,13.02,79,10.77,463.1
86,7,1,60.19,74.19,0,14.00,58,12.1,410.4
88,3,1,55.58,64.89,0,9.30,65,11.93,245.7
92,10,0,62.02,75.93,0,13.90,103,11.23,183.7
99,8,1,58.94,73.12,0,14.19,45,11.03,349.7
99,4,1,52.52,65.42,0,12.90,45,11.03,349.7
99,10,0,52.91,68.93,0,16.02,45,11.03,349.7
99,11,0,59.44,70.44,0,11.00,45,11.03,349.7
93,12,0,55.85,67.32,0,11.47,97,10.65,219.1
92,14,0,62.86,76.16,0,13.29,103,11.23,183.7
98,10,0,56.34,70.30,0,13.96,54,13.2,327.3
79,3,1,50.89,66.25,0,15.36,34,12.27,145.1
107,4,1,58.48,72.10,0,13.62,16,NA,NA
107,6,1,60.11,74.05,0,13.95,16,NA,NA
88,10,1,68.31,80.69,0,12.38,65,11.93,245.7
107,3,0,53.88,66.59,0,12.71,16,NA,NA
79,7,1,53.57,69.56,0,15.99,34,12.27,145.1
107,12,0,58.92,72.63,0,13.71,16,NA,NA
88,7,1,62.27,67.76,0,5.49,65,11.93,245.7
81,3,1,48.46,66.56,0,18.10,31,12.1,442.8
108,4,0,51.12,75.16,0,24.03,22,NA,NA
108,7,1,57.16,82.32,0,25.16,22,NA,NA
108,7,1,55.77,84.40,0,28.63,22,NA,NA
76,7,0,55.60,69.33,0,13.73,30,11.33,239.7
95,11,0,54.21,71.21,0,16.99,79,10.77,463.1
96,4,1,49.87,71.08,0,21.21,73,11.67,116.2
108,13,1,54.73,75.04,0,20.31,22,NA,NA
89,11,1,48.35,65.07,0,16.72,72,12.05,260.1
108,10,1,51.67,73.22,0,21.55,22,NA,NA
104,5,1,52.44,71.70,0,19.26,18,12.63,363.9
104,9,0,62.28,83.03,0,20.75,18,12.63,363.9
104,9,0,54.39,69.61,0,15.23,18,12.63,363.9
96,8,0,58.27,77.05,0,18.78,73,11.67,116.2
104,9,1,58.11,76.66,0,18.54,18,12.63,363.9
103,6,0,48.12,65.35,0,17.23,20,13.03,159.6
103,7,1,57.03,72.98,0,15.95,20,13.03,159.6
84,5,1,53.76,76.89,0,23.14,47,11.33,206.2
103,4,1,56.52,72.54,0,16.02,20,13.03,159.6
82,4,0,50.02,66.95,0,16.94,36,11.07,413
91,4,1,42.38,59.75,0,17.37,97,11.77,316.6
77,6,1,57.30,76.62,0,19.32,30,10.97,278
106,5,1,61.90,76.59,0,14.69,17,NA,NA
96,10,1,48.75,72.18,0,23.43,73,11.67,116.2
105,8,0,51.77,67.79,0,16.02,19,10.8,419.2
91,5,1,49.03,65.22,0,16.19,97,11.77,316.6
96,12,0,54.39,76.87,0,22.48,73,11.67,116.2
105,7,0,55.44,72.23,0,16.79,19,10.8,419.2
83,3,1,50.66,63.58,0,12.92,38,10.75,238.9
95,6,1,54.24,69.53,0,15.29,79,10.77,463.1
95,13,0,53.09,68.70,0,15.61,79,10.77,463.1
95,10,1,58.69,74.16,0,15.47,79,10.77,463.1
90,8,0,51.50,66.57,0,15.06,83,11.9,345.2
91,3,0,41.88,59.52,0,17.64,97,11.77,316.6
94,5,1,53.84,68.51,0,14.68,90,11.67,264.7
107,5,1,54.11,66.86,0,12.75,16,NA,NA
95,7,0,59.98,75.10,0,15.12,79,10.77,463.1
83,5,1,51.39,66.06,0,14.67,38,10.75,238.9
95,6,1,57.46,71.41,0,13.95,79,10.77,463.1
86,4,1,53.25,69.30,0,16.04,58,12.1,410.4
95,6,1,52.09,68.00,0,15.90,79,10.77,463.1
95,11,1,58.84,71.87,0,13.04,79,10.77,463.1
78,5,1,51.41,66.45,0,15.05,33,12.07,308.8
98,10,0,55.66,70.19,0,14.54,54,13.2,327.3
95,9,1,52.71,67.18,0,14.46,79,10.77,463.1
95,5,0,52.00,71.19,0,19.19,79,10.77,463.1
93,11,0,59.08,69.72,0,10.64,97,10.65,219.1
93,6,0,56.83,68.35,0,11.52,97,10.65,219.1
93,7,0,53.75,66.12,0,12.37,97,10.65,219.1
87,3,1,52.63,65.59,0,12.96,61,11.67,283.9
93,5,0,59.98,72.53,0,12.55,97,10.65,219.1
93,11,0,67.40,77.74,0,10.35,97,10.65,219.1
93,4,1,51.41,63.98,0,12.57,97,10.65,219.1
93,4,0,51.57,64.46,0,12.88,97,10.65,219.1
106,11,1,62.95,78.15,0,15.20,17,NA,NA
94,6,1,56.18,70.77,0,14.58,90,11.67,264.7
104,4,0,47.69,65.10,0,17.40,18,12.63,363.9
83,12,1,65.77,70.27,0,4.51,38,10.75,238.9
96,7,0,59.35,79.93,0,20.58,73,11.67,116.2
